singular,plural,sentence,effect,grammar,dobj,iobjdobj,pobj,type,
earth,,,介词宾语,,,,"like,around,without,above,I,near,under,from,on,",,
elementary school,,our elementary school was rebuilt several years ago,主语,"subl + Link verb + predicative,npsubj", ,,,,
elementary school,,my partner and i are going to set up an elementary school,宾语,,"defend,found,M,find,protect,manage,keep,sell,buy,burn,leave,Z,establish,build,",,,,
elementary school,,,介词宾语,,,,"of,between,In,for,about,around,near,beside,from,inside,In,",,
elephant,,the elephants are playing in the water,主语,"svo,subl + Link verb + predicative, there be + subl,npsubj", ,,,,
elephant,,this girl wants to ride the elephant,宾语,,"touch,ig,follow,lift,carry,pull,hold,train,ride,protect,kill,see,",,,,
elephant,,,介词宾语,,,,"among,between,beside,near,with,without,by,around,under,behind,about,on,",,
evening,,很少用作主语,主语,"subl + Link verb + predicative,npsubj", ,,,,
evening,,she has wasted many evening,宾语,,"remember,recall,like,waste,give,need,",,,,
evening,,"on the evening of May 1st ,last year",介词宾语,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Chili,Chilis,,,,,,,food,
Burger,Burgers,,,,,,,food,
Fry,Fries,,,,,,,food,
Hot dog,Hot dogs,,,,,,,food,
Pizza,Pizza,,,,,,,food,
Taco,Tacos,,,,,,,food,
task,,,,,,,,abstract,
exam,,,,,,,,abstract,
difficult,,,,,,,,abstract,
Love,,,,,,,,abstract,
Freedom,,,,,,,,abstract,
Justice,,,,,,,,abstract,
Happiness,,,,,,,,abstract,
Imagination,,,,,,,,abstract,
Creativity,,,,,,,,abstract,
Emotion,,,,,,,,abstract,
Mind,,,,,,,,abstract,
Spirit,,,,,,,,abstract,
Consciousness,,,,,,,,abstract,
Beauty,,,,,,,,abstract,
Truth,,,,,,,,abstract,
Goodness,,,,,,,,abstract,
Virtue,,,,,,,,abstract,
Beauty,,,,,,,,abstract,
Wisdom,,,,,,,,abstract,
Knowledge,,,,,,,,abstract,
Understanding,,,,,,,,abstract,
Compassion,,,,,,,,abstract,
Forgiveness,,,,,,,,abstract,
Peace,,,,,,,,abstract,
Harmony,,,,,,,,abstract,
Air,uncountable,,,,,,,,
airplane,airplanes,,,,,,,,
airport,airports,,,,,,,,
Bag,bags,,,,,,,,
bakery,bakeries,,,,,,,,
ball,balls,,,,,,,,
banana,bananas,,,,,,,,
band,bands,,,,,,,,
bank,banks,,,,,,,,
baseball,baseballs,,,,,,,,
basket,baskets,,,,,,,,
basketball,basketballs,,,,,,,,
Bathroom,bathrooms,,,,,,,,
beach,beaches,,,,,,,,
bear,bears,,,,,,,,
bed,beds,,,,,,,,
bedroom,bedrooms,,,,,,,,
bee,bees,,,,,,,,
beef,uncountable,,,,,,,,
bell,bells,,,,,,,,
bike,bikes,,,,,,,,
bird,birds,,,,,,,,
birthday,birthdays,,,,,,,,
Blackboard,blackboards,,,,,,,,
boat,boats,,,,,,,,
body,bodies,,,,,,,,
book,books,,,,,,,,
bookstore,bookstores,,,,,,,,
bowl,bowls,,,,,,,,
box,boxes,,,,,,,,
bread,uncountable,,,,,,,,
breakfast,breakfasts,,,,,,,,
bridge,bridges,,,,,,,,
Brother,brothers,,,,,,,,
brush,brushes,,,,,,,,
bus,buses,,,,,,,,
cake,cakes,,,,,,,,
camera,cameras,,,,,,,,
digital,digital,,,,,,,,
candy,cameras,,,,,,,,
cap,candies,,,,,,,,
Car,caps,,,,,,,,
card,cars,,,,,,,,
case,cards,,,,,,,,
cat,cases,,,,,,,,
chair,cats,,,,,,,,
chalk,chairs,,,,,,,,
chicken,chalks,,,,,,,,
child,children,,,,,,,,
chocolate,uncountable,,,,,,,,
Chopstick,chopsticks,,,,,,,,
church,churches,,,,,,,,
city,cities,,,,,,,,
class,classes,,,,,,,,
classroom,classrooms,,,,,,,,
clock,clocks,,,,,,,,
clothes,复数名词,,,,,,,,
coat,coats,,,,,,,,
Coffee,uncountable,,,,,,,,
color,colors,,,,,,,,
computer,computers,,,,,,,,
cook,cooks,,,,,,,,
cookie,cookies,,,,,,,,
country,countries,,,,,,,,
cover,covers,,,,,,,,
Cow,cows,,,,,,,,
cup,cups,,,,,,,,
date,dates,,,,,,,,
day,days,,,,,,,,
desk,desks,,,,,,,,
dictionary,dictionaries,,,,,,,,
dining room,dining rooms,,,,,,,,
dinner,dinners,,,,,,,,
dish,dishes,,,,,,,,
dog,dogs,,,,,,,,
doll,dolls,,,,,,,,
dollar,dollars,,,,,,,,
door,doors,,,,,,,,
dress,dresses,,,,,,,,
e-mail,e-mails,,,,,,,,
ear,ears,,,,,,,,
elephant,elephants,,,,,,,,
eraser,erasers,,,,,,,,
evening,evenings,,,,,,,,
excuse,excuses,,,,,,,,
exercise,exercises,,,,,,,,
eye,eyes,,,,,,,,
face,faces,,,,,,,,
factory,factories,,,,,,,,
family,families,,,,,,,,
farm,farms,,,,,,,,
fish,floors,,,,,,,,
floor,flowers,,,,,,,,
flower,flies,,,,,,,,
fly,uncountable,,,,,,,,
food,feet,,,,,,,,
foot,forks,,,,,,,,
fork,fruits,,,,,,,,
fruit,games,,,,,,,,
game,uncountable,,,,,,,,
garbage,gardens,,,,,,,,
garden,gifts,,,,,,,,
gift,gloves,,,,,,,,
glove,goats,,,,,,,,
goat,uncountable,,,,,,,,
hair,hams,,,,,,,,
ham,hamburgers,,,,,,,,
hamburger,hands,,,,,,,,
hand,hats,,,,,,,,
hat,heads,,,,,,,,
head,hearts,,,,,,,,
heart,hills,,,,,,,,
hill,uncountable,,,,,,,,
history,hobbies,,,,,,,,
hobby,holidays,,,,,,,,
holiday,homes,,,,,,,,
home,uncountable,,,,,,,,
homework,uncountable,,,,,,,,
hope,horses,,,,,,,,
horse,hospitals,,,,,,,,
hospital,hot dogs,,,,,,,,
hot dog,houses,,,,,,,,
house,uncountable,,,,,,,,
ice,ice creams,,,,,,,,
ice cream,ideas,,,,,,,,
idea,interests,,,,,,,,
interest,uncountable,,,,,,,,
internet,islands,,,,,,,,
island,jackets,,,,,,,,
jacket,jobs,,,,,,,,
jeans,uncountable,,,,,,,,
job,keys,,,,,,,,
juice,kids,,,,,,,,
key,kilograms,,,,,,,,
kid,kings,,,,,,,,
kilogram,kisses,,,,,,,,
king,kitchens,,,,,,,,
kiss,kites,,,,,,,,
kitchen,knees,,,,,,,,
kite,knives,,,,,,,,
knee,uncountable,,,,,,,,
knife,lakes,,,,,,,,
knowledge,lamps,,,,,,,,
lake,lands,,,,,,,,
lamp,languages,,,,,,,,
land,legs,,,,,,,,
language,lemons,,,,,,,,
leg,lessons,,,,,,,,
lemon,letters,,,,,,,,
lesson,libraries,,,,,,,,
letter,Lives,,,,,,,,
library,lights,,,,,,,,
life,lines,,,,,,,,
light,lions,,,,,,,,
line,lips,,,,,,,,
lion,lists,,,,,,,,
lip,living,,,,,,,,
list,rooms,,,,,,,,
living,uncountable,,,,,,,,
love,lunches,,,,,,,,
lunch,machines,,,,,,,,
machine,mails,,,,,,,,
mail,maps,,,,,,,,
map,markets,,,,,,,,
market,uncountable,,,,,,,,
math,meals,,,,,,,,
meal,uncountable,,,,,,,,
meat,medicines,,,,,,,,
medicine,meetings,,,,,,,,
meeting,menus,,,,,,,,
menu,miles,,,,,,,,
mile,uncountable,,,,,,,,
milk,minutes,,,,,,,,
minute,mistakes,,,,,,,,
mistake,moments,,,,,,,,
moment,uncountable,,,,,,,,
money,monkeys,,,,,,,,
monkey,months,,,,,,,,
month,moons,,,,,,,,
moon,mornings,,,,,,,,
morning,mountains,,,,,,,,
mountain,mice,,,,,,,,
mouse,mouths,,,,,,,,
mouth,movies,,,,,,,,
movie,museums,,,,,,,,
museum,uncountable,,,,,,,,
music,names,,,,,,,,
name,necks,,,,,,,,
neck,uncountable,,,,,,,,
news,nights,,,,,,,,
night,noodles,,,,,,,,
noodle,noons,,,,,,,,
noon,noses,,,,,,,,
nose,notebooks,,,,,,,,
notebook,notices,,,,,,,,
notice,numbers,,,,,,,,
number,offices,,,,,,,,
office,uncountable,,,,,,,,
oil,oranges,,,,,,,,
orange,pages,,,,,,,,
page,表示一条,,,,,,,,
pants,uncountable,,,,,,,,
paper,parks,,,,,,,,
park,parties,,,,,,,,
party,pens,,,,,,,,
pen,pencils,,,,,,,,
pencil,复数名词,,,,,,,,
people,persons,,,,,,,,
person,pets,,,,,,,,
pet,pianos,,,,,,,,
piano,pictures,,,,,,,,
picture,pies,,,,,,,,
pie,pigs,,,,,,,,
pig,places,,,,,,,,
place,plans,,,,,,,,
plan,playgrounds,,,,,,,,
playground,points,,,,,,,,
point,uncountable,,,,,,,,
pork,post,,,,,,,,
post,offices,,,,,,,,
present,presents,,,,,,,,
price,prices,,,,,,,,
problem,problems,,,,,,,,
program,programs,,,,,,,,
question,questions,,,,,,,,
rabbit,rabbits,,,,,,,,
radio,radios,,,,,,,,
railway,railways,,,,,,,,
rain,uncountable,,,,,,,,
refrigerator,refrigerators,,,,,,,,
restaurant,restaurants,,,,,,,,
rice,uncountable,,,,,,,,
ring,rings,,,,,,,,
river,rivers,,,,,,,,
road,roads,,,,,,,,
room,rooms,,,,,,,,
rose,roses,,,,,,,,
rule,rules,,,,,,,,
ruler,rulers,,,,,,,,
safe,safes,,,,,,,,
salt,uncountable,,,,,,,,
school,schools,,,,,,,,
sea,seas,,,,,,,,
seat,seats,,,,,,,,
second,seconds,,,,,,,,
sentence,sentences,,,,,,,,
sheep,sheep,,,,,,,,
ship,ships,,,,,,,,
shirt,shirts,,,,,,,,
shoe,shoes,,,,,,,,
size,sizes,,,,,,,,
skirt,skirts,,,,,,,,
sky,skies,,,,,,,,
smile,smiles,,,,,,,,
snow,uncountable,,,,,,,,
sock,socks,,,,,,,,
sofa,sofas,,,,,,,,
song,songs,,,,,,,,
sound,uncountable,,,,,,,,
soup,uncountable,,,,,,,,
south,uncountable,,,,,,,,
spoon,spoons,,,,,,,,
sport,sports,,,,,,,,
spring,springs,,,,,,,,
star,stars,,,,,,,,
station,stations,,,,,,,,
steak,steaks,,,,,,,,
store,stores,,,,,,,,
story,stories,,,,,,,,
street,streets,,,,,,,,
study,uncountable,,,,,,,,
sugar,uncountable,,,,,,,,
summer,summers,,,,,,,,
sun,suns,,"独一无二,加冠词 the. 表“恒星”是可数名词。",,,,,,
supermarket,supermarkets,,,,,,,,
sweater,sweaters,,,,,,,,
table,tables,,,,,,,,
taxi,taxis,,,,,,,,
tea,uncountable,,,,,,,,
team,teams,,,,,,,,
telephone,telephones,,,,,,,,
television,televisions,,,,,,,,
tennis,uncountable,,,,,,,,
theater,theaters,,,,,,,,
thing,things,,,,,,,,
ticket,tickets,,,,,,,,
tiger,tigers,,,,,,,,
time,uncountable,,表次数是可数的times ,,,,,,
tomato,tomatoes,,,,,,,,
tooth,teeth,,,,,,,,
towel,towels,,,,,,,,
town,towns,,,,,,,,
toy,toys,,,,,,,,
train,trains,,,,,,,,
tree,trees,,,,,,,,
trip,trips,,,,,,,,
umbrella,umbrellas,,,,,,,,
uniform,uniforms,,,,,,,,
vacation,vacations,,,,,,,,
vegetable,vegetables,,,,,,,,
video,videos,,,,,,,,
wall,walls,,,,,,,,
watch,watches,,,,,,,,
water,uncountable,,,,,,,,
way,ways,,,,,,,,
weather,uncountable,,,,,,,,
week,weeks,,,,,,,,
weekend,weekends,,,,,,,,
well,wells,,,,,,,,
wind,uncountable,,,,,,,,
window,windows,,,,,,,,
winter,winters,,,,,,,,
word,words,,,,,,,,
work,uncountable,,,,,,,,
world,worlds,,,,,,,,
year,years,,,,,,,,
zoo,zoos,,,,,,,,
